sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
470,btx,4,A,,Document Type,Token,0..1,,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",元文書種別,小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト]_x000D_ (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),transactionDetailDocumentType,BT12-05,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Document Type,btx,Transaction_ Detail
471,btx,4,A,,Document Type Description,String,0..1,,Free format description of the document type,元文書種別説明,元文書の種別の説明。,documentTypeDescription,BT12-06,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Document Type Description,btx,Transaction_ Detail
472,cor,4,R,,Document,,0..1,,"Invoice, check, voucher, or other source document identifier",元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,,BT12-07,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Document,cor,Document
473,cor,5,A,REF,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,transactionDetailDocumentNumber,CO20-02,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Document.Document Number,cor,Document
474,btx,4,A,,Document Date,Date Time,0..1,,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,transactionDetailDocumentDate,BT12-08,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Document Date,btx,Transaction_ Detail
475,btx,4,A,,Received Date,Date Time,0..1,,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,transactionDetailReceivedDate,BT12-09,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Received Date,btx,Transaction_ Detail
476,btx,4,A,,Document Location,String,0..1,,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,transactionDetailDocumentLocation,BT12-10,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Document Location,btx,Transaction_ Detail
477,btx,4,A,,Posting Status,Token,0..1,,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",転記状態,"・据置：入力されたが、まだ転記できない。_x000D_
・転記済：転記済み。_x000D_
・提案済：検証が必要な項目。_x000D_
・シミュレーション：仮定のためにシミュレートされた項目。_x000D_
・税：税項目。_x000D_
・未転記：入力されたが、まだ検証も転記もされていない。_x000D_
・取消済：入力されたが、取り消された。_x000D_
・その他：その他の状態。postingStatusDescriptionで説明されるべき。_x000D_
[設定値のリスト]_x000D_
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",postingStatus,BT12-11,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Posting Status,btx,Transaction_ Detail
478,btx,4,A,,Posting Status Description,String,0..1,,Free format description of the posting status,転記状態説明,転記状態の説明。,postingStatusDescription,BT12-12,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Posting Status Description,btx,Transaction_ Detail
479,btx,4,A,,Description,String,0..1,,Description of this line of detail only,説明,この明細行のみに対する説明。,description,BT12-13,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Description,btx,Transaction_ Detail
480,btx,4,A,,Acknowledgement Date,Date Time,0..1,,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。,acknowledgementDate,BT12-14,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Acknowledgement Date,btx,Transaction_ Detail
481,btx,4,A,,Confirmation Date,Date Time,0..1,,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。,confirmationDate,BT12-15,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Confirmation Date,btx,Transaction_ Detail
482,btx,4,A,,Measurable Class Description,String,0..1,,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。,measurableClassDescription,BT12-16,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Measurable Class Description,btx,Transaction_ Detail
483,btx,4,A,,Geospatial Coordinate,String,0..1,,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403",geospatialCoordinate,BT12-17,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Geospatial Coordinate,btx,Transaction_ Detail
484,taf,4,C,,Originating Document,,0..*,,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,transactionDetailOriginatingDocument,BT12-18,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Originating Document,taf,Originating Document
485,taf,5,A,,Document Type,Token,0..1,,"Document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other),transactionDetailOriginatingDocumentType,TA01-01,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Originating Document.Document Type,taf,Originating Document
486,taf,5,A,PK,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,transactionDetailOriginatingDocumentNumber,TA01-02,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Originating Document.Document Number,taf,Originating Document
487,taf,5,A,,Document Date,Date,0..1,,Document date,発生元文書日付,発生元文書の日付。,transactionDetailOriginatingDocumentDate,TA01-03,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Originating Document.Document Date,taf,Originating Document
488,taf,5,A,,Document Identifier Type,Token,0..1,,"Document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",発生元文書対象CVE種別,発生元文書の対象となるCVEの種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),transactionDetailOriginatingDocumentIdentifierType,TA01-04,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Originating Document.Document Identifier Type,taf,Originating Document
489,taf,5,A,,Document Identifier Code,String,0..1,,Document identifier code,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,transactionDetailOriginatingDocumentIdentifierCode,TA01-05,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Originating Document.Document Identifier Code,taf,Originating Document
490,taf,5,A,,Document Identifier Tax Code,Token,0..1,,Originating document identifier tax code,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。,transactionDetailOriginatingDocumentIdentifierTaxCode,TA01-06,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Originating Document.Document Identifier Tax Code,taf,Originating Document
491,btx,4,A,,Detail_ Description,String,0..1,,Description of this line of detail only,説明,この明細行のみに対する説明。,detailDescription,BT12-19,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Detail_ Description,btx,Transaction_ Detail
492,btx,4,A,,Detail_ Measurable Class Identifier,Token,0..1,,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",測定可能分類コード,在庫、固定資産、その他の測定可能な分類を識別するための列挙コード。列挙例：原材料、仕掛品、製品、組立品、備品、土地、建物、機械、家具、車両、その他。,detailMeasurableClassIdentifier,BT12-20,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Detail_ Measurable Class Identifier,btx,Transaction_ Detail
493,btx,4,C,,Detail_ Amount Structure,,0..*,,"Structure representing monetary amounts and currency information applicable to an individual line, such as line-level net amounts, tax calculation bases, allowances, or charges.",【行金額構造】,個々の明細行に適用される金額や通貨情報（行レベルの正味金額、税計算基礎額、値引または追加請求など）を表現する構造。,detailAmountStructure,BT12-21,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Detail_ Amount Structure,btx,Detail_ Amount Structure
494,btx,5,A,,Amount,Monetary,1,,Numeric value of the monetary amount expressed in the specified currency.,金額,指定された通貨で表現された金額の数値。,detailAmountStructureAmount,BT02-01,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Detail_ Amount Structure.Amount,btx,Detail_ Amount Structure
495,btx,5,A,,Amount Type,Token,0..1,,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,detailAmountStructureAmountType,BT02-02,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Detail_ Amount Structure.Amount Type,btx,Detail_ Amount Structure
496,btx,5,A,,Currency Code,Token,0..1,,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。,detailAmountStructureCurrencyCode,BT02-03,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Detail_ Amount Structure.Currency Code,btx,Detail_ Amount Structure
